"ZIP5","AverageIndex","StormEventIndex","StormEventDurationHours","exceptional","acceptable","unacceptable"
"84064",0,0,0,100,0,0
"84065",0.242,1.524,7.032,32.326,61.524,6.154
"84066",0,0,0,100,0,0
"84067",0.14,0.5,3.67,0,60.87,39.13
"84071",0.21,1.28,6,48.65,51.35,0
"84074",0.124344615384615,0.88224,4.4,59.0314061538462,38.4108769230769,2.55571692307692
"84075",0,0,0,100,0,0
"84078",0,0,0,100,0,0
"84081",0.21,3.045,15.92,25.78,70.08,4.14
"84082",0.0763569444444444,1.83256666666667,8,76.3011486111111,23.4719472222222,0.226904166666667
"84083",0,0,0,100,0,0
"84084",0.115,0.545,2.415,70,28.335,1.665
"84086",0.16,4.07,25.5,6.49,91.56,1.95
"84088",0.153333333333333,0.64,2.83333333333333,59.71,39.18,1.11
"84092",0.243333333333333,6.26666666666667,8.61,75.8533333333333,20.7266666666667,3.42
"84095",0.1,0.89,9,16.36,69.09,14.55
"84096",0.2,1.605,8.415,18.595,68.92,12.485
"84097",0,0,0,100,0,0
"84098",0.206666666666667,4.78833333333333,8.09666666666667,74.28,23.97,1.75
"84101",0.08,0.623333333333333,5.22,45.8333333333333,54.1666666666667,0
"84102",0.185,1.46,7.915,20.62,78.36,1.02
"84103",0.185,1.46,7.915,20.62,78.36,1.02
"84104",0.108,0.666,4.098,49.5,42.5,8
"84105",0.19,1.4975,7.8725,20.7275,78.2425,1.03
"84106",0.295,2.9425,9.08,24.36,74.48,1.16
"84107",0.12,0.706666666666667,4.22,52.2233333333333,46.6666666666667,1.11
"84108",0.395,5.337,10.533,30.747,65.253,3.999
"84109",0.41,5.69888888888889,10.8144444444444,31.8955555555556,63.8866666666667,4.21666666666667
"84111",0.166666666666667,1.30333333333333,7.83,20.8333333333333,78.4733333333333,0.693333333333333
"84112",0.26,2.08,8,20.41,77.55,2.04
"84113",0.26,2.08,8,20.41,77.55,2.04
"84115",0.166666666666667,1.30333333333333,7.83,20.8333333333333,78.4733333333333,0.693333333333333
"84116",0.0875,0.415,2.79,59.97,40.03,0
"84117",0.51,6.51,12.83,30.77,66.67,2.56
"84118",0.095,2.63,14.085,56.215,39.645,4.14
"84119",0.048,0.374,3.132,67.5,32.5,0
"84120",0.1,0.486666666666667,1.61,70,16.6666666666667,13.3333333333333
"84121",0.245,4.4,7.24833333333333,66.3883333333333,30.92,2.69166666666667
"84122",0,0,0,100,0,0
"84123",0.0766666666666667,0.363333333333333,1.61,80,18.89,1.11
"84124",0.263333333333333,2.9,6.88666666666667,51.9233333333333,47.2233333333333,0.853333333333333
"84128",0.15,0.73,2.415,55,25,20
"84129",0.0766666666666667,0.363333333333333,1.61,80,18.89,1.11
"84150",0.11,0.84,7.83,20.83,79.17,0
"84302",0.045,0.785,8.5,53.885,45.63,0.485
"84305",0.16,1.78,11.5,35.71,64.29,0
"84307",0.145,1.595,5.585,58.09,26.47,15.44
"84310",0.0966666666666667,0.536666666666667,1.83333333333333,76.47,21.57,1.96
"84312",0.307249451353328,4.2001,13.67,30.9213606437454,69.0786393562546,0
"84315",0,0,0,100,0,0
"84316",0.22,2.59,11.67,18.31,46.48,35.21
"84317",0.145,0.805,2.75,64.705,32.355,2.94
"84319",0.27,3.32,12.5,38.16,48.68,13.16
"84320",0.48,6.15,12.83,28.21,60.26,11.54
"84321",0.31,3.755,12.165,27.415,64.62,7.97
"84322",0.35,4.19,11.83,16.67,80.56,2.78
"84324",0.3,5.33,17.5,35.85,56.6,7.55
"84328",0.1,1.77666666666667,5.83333333333333,78.6166666666667,18.8666666666667,2.51666666666667
"84330",0.233624725676664,2.99005,12.585,33.3156803218727,66.6843196781273,0
"84331",0.244312362838332,2.940025,12.0025,25.2803401609364,58.1971598390636,16.5225
"84332",0.35,4.19,11.83,16.67,80.56,2.78
"84333",0.453333333333333,6.27,13.4966666666667,23.2933333333333,66.7333333333333,9.98333333333333
"84335",0.48,6.15,12.83,28.21,60.26,11.54
"84336",0.29,3.19,11.17,16.18,52.94,30.88
"84337",0,0,0,100,0,0
"84339",0.135,1.66,6.25,69.08,24.34,6.58
"84340",0.0766666666666667,1.28333333333333,17.1666666666667,5.23,89.2533333333333,5.52
"84341",0.35,4.19,11.83,16.67,80.56,2.78
"84401",0.07,0.25,1.835,50,30.435,19.565
"84403",0.216666666666667,1.15666666666667,5.11,20.37,55.4733333333333,24.1533333333333
"84404",0.05,0.83,18,0.92,94.5,4.59
"84405",0.216666666666667,1.15666666666667,5.11,20.37,55.4733333333333,24.1533333333333
"84414",0.025,0.415,9,50.46,47.25,2.295
"84501",0,0,0,100,0,0
"84511",0,0,0,100,0,0
"84518",0,0,0,100,0,0
"84521",0,0,0,100,0,0
"84522",0,0,0,100,0,0
"84525",0,0,0,100,0,0
"84528",0,0,0,100,0,0
"84532",0.165,1.135,3.415,73.81,15.475,10.715
"84533",0.28,7,25.17,13.25,41.72,45.03
"84535",0,0,0,100,0,0
"84540",0.33,2.27,6.83,47.62,30.95,21.43
"84601",0.19,0.92,4.83,33.33,66.67,0
"84604",0,0,0,100,0,0
"84606",0.19,0.92,4.83,33.33,66.67,0
"84620",0.15,1.96,13.5,20.73,67.07,12.2
"84626",0.46,2.86,6.17,34.21,52.63,13.16
"84628",0.46,2.86,6.17,34.21,52.63,13.16
"84629",0,0,0,100,0,0
"84631",0.1,2.43,12.25,61.825,36.825,1.35
"84633",0.37,3.27,8.83,3.7,55.56,40.74
"84637",0,0,0,100,0,0
"84639",0.11,1.12,5.165,61.11,31.745,7.145
"84642",0,0,0,100,0,0
"84645",0.37,3.27,8.83,3.7,55.56,40.74
"84648",0.11,1.12,5.165,61.11,31.745,7.145
"84651",0.4,2.46,6.17,7.89,65.79,26.32
"84653",0.4,2.46,6.17,7.89,65.79,26.32
"84654",0.113333333333333,3.47,19.6666666666667,50.8766666666667,47.4,1.72333333333333
"84655",0.37,3.27,8.83,3.7,55.56,40.74
"84656",0,0,0,100,0,0
"84657",0.15,1.96,13.5,20.73,67.07,12.2
"84660",0.1475,0.845,2.75,60.305,33.115,6.58
"84663",0.19,0.92,4.83,33.33,66.67,0
"84665",0,0,0,100,0,0
"84701",0,0,0,100,0,0
"84710",0,0,0,100,0,0
"84713",0.05,0.251666666666667,0.833333333333333,86.1116666666667,9.445,4.445
"84716",0,0,0,100,0,0
"84719",0,0,0,100,0,0
"84720",0.06,0.646666666666667,3.5,68.4833333333333,30.3033333333333,1.21333333333333
"84721",0.09,0.97,5.25,52.725,45.455,1.82
"84731",0,0,0,100,0,0
"84732",0,0,0,100,0,0
"84740",0,0,0,100,0,0
"84742",0,0,0,100,0,0
"84747",0,0,0,100,0,0
"84757",0,0,0,100,0,0
"84760",0.126666666666667,1.59666666666667,4.16666666666667,75.44,23.2466666666667,1.31666666666667
"84761",0,0,0,100,0,0
"84762",0,0,0,100,0,0
"84766",0,0,0,100,0,0
"84774",0,0,0,100,0,0
